genre,bsc,exp,test,msc,status
1,2.9,0,55.0,2.94,1
1,3.874,1,86.5,3.314,1
1,3.2,0,75.0,2.8899999999999997,1
1,2.6,0,66.0,2.9715,0
1,3.665,0,96.8,2.775,1
1,3.3625,1,55.0,2.5789999999999997,0
2,3.95,0,74.28,2.6645,0
1,3.3,1,67.0,3.107,1
1,3.6,0,91.34,3.0645,1
1,3.05,0,54.0,2.6105,0
1,3.0,1,62.0,3.0425,1
1,3.915,1,60.0,3.185,1
2,3.25,0,62.0,3.2520000000000002,0
2,2.95,0,68.0,3.4314999999999998,1
1,2.5,0,76.0,2.748,0
2,3.45,1,72.0,3.2329999999999997,1
1,3.28,1,60.0,3.127,1
2,3.2,0,60.0,3.364,0
2,3.2,0,68.0,3.2039999999999997,0
1,3.5,1,50.48,3.8945,1
1,3.3,0,50.0,2.835,1
2,4.25,0,95.0,3.4530000000000003,1
2,3.6115000000000004,0,55.53,3.4405,1
2,3.2369999999999997,1,92.0,3.181,1
1,3.943,0,97.4,3.7005000000000003,1
2,2.5100000000000002,1,76.0,3.2664999999999997,0
1,3.3,1,94.0,2.8775,1
1,3.3,0,68.0,2.8845,1
1,3.375,1,73.35,3.2075000000000005,1
1,2.9,0,77.0,2.5645,0
2,3.65,0,52.0,2.835,1
2,3.25,0,64.0,2.916,0
2,3.3200000000000003,0,50.89,3.1105,1
2,4.05,1,88.0,3.6390000000000002,1
1,2.6,0,68.44,3.1385,0
2,3.6,0,71.0,3.137,1
1,2.85,0,64.0,2.5725000000000002,0
2,3.28,0,58.0,2.7735,1
2,3.3,0,53.7,2.843,1
1,3.2,0,93.0,3.128,1
2,4.0,0,60.0,3.336,1
2,3.25,1,65.0,3.4880000000000004,0
1,3.25,0,63.0,2.5605,0
1,3.4,0,95.0,3.145,1
2,4.05,1,89.0,3.4850000000000003,1
2,3.6,0,58.0,3.3265000000000002,0
2,3.28,0,68.0,3.5814999999999997,0
1,2.85,1,78.0,2.7275,1
1,3.4,0,64.0,3.123,1
2,2.6,0,65.0,2.8055,0
2,3.4200000000000004,0,65.0,3.149,1
1,2.81,0,67.0,3.1325,0
2,2.65,0,71.2,3.2744999999999997,0
1,3.6,0,87.0,3.5520000000000005,1
2,3.45,0,78.0,3.278,1
1,3.25,0,71.0,2.6355,1
1,3.07,0,68.0,3.344,1
1,3.7,0,80.0,3.1795,1
1,3.4,0,74.0,2.8995,1
1,3.6055,0,57.6,2.8329999999999997,1
1,3.6,1,60.0,2.862,1
1,3.3445,0,61.6,3.1239999999999997,1
2,3.37,0,59.0,2.9844999999999997,1
1,3.2,0,68.5,2.975,0
1,3.75,0,61.0,2.939,1
1,2.85,0,89.69,2.855,0
1,3.3,0,68.92,2.923,1
1,3.35,0,68.71,3.0495,1
2,3.6350000000000002,0,79.0,2.962,0
1,3.3,1,70.0,3.4034999999999997,1
1,3.1,0,89.0,3.2725,1
